autor,books_name
Ассоциация советских юристов,Аэроузел-2
Канторович Лев,Бабаев
Прозоров Лев,Бабин Яр: версії гіркої правди
Ключник Александр,Бабиновская дорога — путь длиною в 400 лет
Федоровский Евгений,Бабье царство: Дворянки и владение имуществом в России (1700—1861)
Маслов Юрий,Багровая книга. Погромы 1919-20 гг. на Украине.
Шамбаров Валерий,Базалетский бой (Великий Моурави - 5)
Слободин Владимир,Баку - 1501
Сборник Сборник,Бакунин и Нечаев
Романько Олег,Балалайка Андреева
Кравцевич Александр,Баллады
Цурганов Юрий,Балтийская легенда
Гончаренко Олег,Балтийские славяне. От Рерика до Старигарда
Балмасов Сергей,Банда Тито – Орудие Американо-английских поджигателей войны
Мельников-Печерский   Павел,Бандит с Черных гор
Мельников-Печерский   Павел,"Бандиты эпохи Ельцина, или Россия, кровью умытая"
Копылов Николай,"Бандолеро, или Свадьба в горах"
Мягков Михаил,"Бандолеро, или Свадьба в горах"
Лехович Д.,БАНКИРСКИЕ ДОМА В РОССИИ 1860—1914 гг.
Рыжков Владимир,Банкротства
Май Карл,Баранова балка
Андреев Геннадий,Баркулабовская летопись
Мейкен Артур,Бартек-победитель
Дэвис Норман,Барышня Зигетт в дни террора
Лысов Владимир,Басня
Мелихов Георгий,Басня
Намазова Алла,Бастионы Севастополя
Станюкович Константин,Бастионы Севастополя
Богданов Евгений,Башкиры в войнах России первой четверти XIX века
Рубан Василь,Бдительность – наше оружие
Жданов Александр,Беглые в Новороссии
Антонов-Овсеенко Антон,Беглые заметки об одной праздной поездке
Пыхалов Игорь,Бегство Курбского
Прудникова Елена,Бедная любовь Мусоргского
Соколов Борис,Бедствующая земля
Рот Йозеф,Без грифа секретно: Охота за «Энигмой»
Гогун Александр,Без единого выстрела                    
Пирсон  Хескет,Без названия
Акунов Вольфганг,Без пощады
Суворов Виктор,Безгетьмання та останній гетьман України
Тираспольский Геннадий,Бездомные мальчишки и веселые коты
Радзинский Эдвард,Безмолвные стражи тайн (загадки острова Пасхи)
Джилас Милован,Безногий
ВИЛЛИ ВОЛЬФЗАНГЕР,Безумная психиатрия 
Франц Андрей,Безумные короли. Личная травма и судьба народов
Мартьянов Сергей,Безымянная могила
Грачева А.,Безымянное
Кокалис Питер,Беларусізацыя пад №...
Нудельман Рафаил,Беларуская Беласточчына
Церен Эрих,Беларуская дзяржава Вялікае княства Літоўскае
Липовский Игорь,БЕЛАРУСЬ ПАД НЯМЕЦКАЙ АКУПАЦЫЯЙ
Дрознин Майкл,БЕЛАРУСЬ УЧОРА І СЯНЬНЯ
"Эпосы, мифы, легенды и сказания Автор неизвестен - ",Беларусь. Памятное лето 1944 года (сборник)
Делич Фридрих,"БЕЛАЯ ГВАРДИЯ, ПУТЬ ТВОЙ ВЫСОК..."
Эль-Гад Давид,Белая карта
Шульц Джеймс,Белая карта
Ичбиа Дэниэл,"Белая книга - свидетельства, факты, документы"
Бантыш-Каменский Дмитрий,"Белая книга: свидетельства, факты, документы"
Гомер,Белая скво
Бородин Сергей,Белая тройка
Бирюков Павел,Белбог и Чернобог: враги или союзники
Пушкарев Сергей,Белгород-Днестровский
