area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Москва,Официант,https://nn.hh.ru/vacancy/74379156,С-Лайн,https://nn.hh.ru/employer/9081380,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74379156&hhtmFrom=vacancy_search_list,от 150 000 руб.
Москва,Менеджер команды сопровождения студентов,https://nn.hh.ru/vacancy/73588375,Яндекс Практикум,https://nn.hh.ru/employer/5008932,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73588375&hhtmFrom=vacancy_search_list,
Москва,Администратор в салон тайского массажа,https://nn.hh.ru/vacancy/73710174,Тайские Облака,https://nn.hh.ru/employer/2875198,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73710174&hhtmFrom=vacancy_search_list,100 000 – 110 000 руб.
Москва,Слесарь-сварщик,https://nn.hh.ru/vacancy/73828279,ООО Мосайр,https://nn.hh.ru/employer/4034977,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73828279&hhtmFrom=vacancy_search_list,90 000 – 200 000 руб.
Москва,"Менеджер на входящие обращения, удаленно",https://nn.hh.ru/vacancy/73883654,ООО Интегрированные Системы Управления,https://nn.hh.ru/employer/5615387,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73883654&hhtmFrom=vacancy_search_list,40 000 – 76 000 руб.
Москва,Водитель-экспедитор,https://nn.hh.ru/vacancy/75188771,ООО Автомедон-М,https://nn.hh.ru/employer/941230,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75188771&hhtmFrom=vacancy_search_list,от 60 000 руб.
Москва,Media buyer / Арбитражник,https://nn.hh.ru/vacancy/72286067,РемМастер,https://nn.hh.ru/employer/5971139,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72286067&hhtmFrom=vacancy_search_list,от 100 000 руб.
Москва,Менеджер по продажам в зоогостиницу (удаленно),https://nn.hh.ru/vacancy/73230337,ErinDogCamp,https://nn.hh.ru/employer/8950742,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73230337&hhtmFrom=vacancy_search_list,от 50 000 руб.
Москва,Управляющий в сеть Барбершопов,https://nn.hh.ru/vacancy/74055646,Topgun (ИП Крамар Василина Евгеньевна),https://nn.hh.ru/employer/5287751,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74055646&hhtmFrom=vacancy_search_list,от 80 000 руб.
Москва,Перегонщик (СТО),https://nn.hh.ru/vacancy/74265540,Ситидрайв,https://nn.hh.ru/employer/1975264,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74265540&hhtmFrom=vacancy_search_list,56 897 – 56 987 руб.
Москва,Старший повар,https://nn.hh.ru/vacancy/75046385,Soul in the Bowl,https://nn.hh.ru/employer/2957349,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75046385&hhtmFrom=vacancy_search_list,75 000 – 100 000 руб.
Москва,Менеджер по бронированию авиабилетов (удаленный),https://nn.hh.ru/vacancy/73828618,ОСТ-ВЕСТ,https://nn.hh.ru/employer/97509,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73828618&hhtmFrom=vacancy_search_list,50 000 – 75 000 руб.
Москва,Head Chef,https://nn.hh.ru/vacancy/75046631,FRC,https://nn.hh.ru/employer/5587502,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75046631&hhtmFrom=vacancy_search_list,3 500 – 4 000 EUR
Москва,Frontend developer React,https://nn.hh.ru/vacancy/75061414,"Агентство 21 век, КЦ",https://nn.hh.ru/employer/659638,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75061414&hhtmFrom=vacancy_search_list,до 200 000 руб.
Москва,Начинающий специалист отдела логистики,https://nn.hh.ru/vacancy/75156979,ООО УРАЛО-СИБИРСКАЯ ПРОМЫШЛЕННАЯ КОМПАНИЯ,https://nn.hh.ru/employer/1140903,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75156979&hhtmFrom=vacancy_search_list,от 40 000 руб.
Москва,Специалист по разбору товара в аптеку (Москва и Московская область),https://nn.hh.ru/vacancy/51321385,Аптеки Столички,https://nn.hh.ru/employer/33822,https://img.hhcdn.ru/employer-logo/3093669.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=51321385&hhtmFrom=vacancy_search_list,25 000 – 35 000 руб.
Москва,Оператор контактного центра (входящие звонки),https://nn.hh.ru/vacancy/74265536,Медлайн-Сервис,https://nn.hh.ru/employer/985024,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74265536&hhtmFrom=vacancy_search_list,50 000 – 70 000 руб.
Москва,Архивист,https://nn.hh.ru/vacancy/74333189,ИП Асаева Мзия Апалоновна,https://nn.hh.ru/employer/8972739,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74333189&hhtmFrom=vacancy_search_list,60 000 – 65 000 руб.
Москва,Комплектовщик канцелярских товаров на склад,https://nn.hh.ru/vacancy/74914925,ООО Веллдан,https://nn.hh.ru/employer/1943836,https://img.hhcdn.ru/employer-logo/3655052.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74914925&hhtmFrom=vacancy_search_list,от 55 000 руб.
Москва,Продавец-консультант в бутик класса люкс Valentino на Кутузовском проспекте,https://nn.hh.ru/vacancy/70238789,Mercury,https://nn.hh.ru/employer/3682,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=70238789&hhtmFrom=vacancy_search_list,70 000 – 300 000 руб.
Москва,Шеф-повар (в ресторан Москвы),https://nn.hh.ru/vacancy/72751084,ООО Кутузовский,https://nn.hh.ru/employer/869772,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72751084&hhtmFrom=vacancy_search_list,250 000 – 300 000 руб.
Москва,"Менеджер по работе с Wildberries, Вайлдберриз, ВБ",https://nn.hh.ru/vacancy/74442636,ООО Эксклюзивери Рус,https://nn.hh.ru/employer/5158123,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74442636&hhtmFrom=vacancy_search_list,от 120 000 руб.
Москва,SMM-менеджер (стажер),https://nn.hh.ru/vacancy/74856771,Мебель Поволжья,https://nn.hh.ru/employer/2911474,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74856771&hhtmFrom=vacancy_search_list,от 40 000 руб.
