area,title,link,employer_name,employer_link,employer_img,respond_link,salary
Санкт-Петербург,Менеджер по продажам от застройщиков/Специалист по недвижимости/Риэлтор (Входящие звонки),https://nn.hh.ru/vacancy/74939844,АН МегаДом,https://nn.hh.ru/employer/4550641,https://img.hhcdn.ru/employer-logo/3344009.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74939844&hhtmFrom=vacancy_search_list,160 000 – 498 000 руб.
Санкт-Петербург,Сотрудник склада,https://nn.hh.ru/vacancy/73078385,ИП Ершов Сергей Евгеньевич,https://nn.hh.ru/employer/1971720,https://img.hhcdn.ru/employer-logo/4044256.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73078385&hhtmFrom=vacancy_search_list,от 45 000 руб.
Санкт-Петербург,Менеджер по продаже запчастей,https://nn.hh.ru/vacancy/73874905,ООО Сервис Баумашинен,https://nn.hh.ru/employer/2972702,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73874905&hhtmFrom=vacancy_search_list,80 000 – 135 600 руб.
Санкт-Петербург,Продавец-консультант одежды,https://nn.hh.ru/vacancy/74847376,Мужской магазин Men’s Look store (ИП Жевнерева Светлана Сергеевна),https://nn.hh.ru/employer/5604159,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74847376&hhtmFrom=vacancy_search_list,45 000 – 70 000 руб.
Санкт-Петербург,Оператор call-центра (Удаленная работа),https://nn.hh.ru/vacancy/54986356,VooLna,https://nn.hh.ru/employer/3153540,https://img.hhcdn.ru/employer-logo/4249621.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=54986356&hhtmFrom=vacancy_search_list,50 000 – 100 000 руб.
Санкт-Петербург,Водитель-курьер,https://nn.hh.ru/vacancy/74387387,ТОКИО-CITY,https://nn.hh.ru/employer/924205,https://img.hhcdn.ru/employer-logo/3569496.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74387387&hhtmFrom=vacancy_search_list,до 130 000 руб.
Санкт-Петербург,Продавец-консультант в магазин женской одежды GERRY WEBER,https://nn.hh.ru/vacancy/75083974,Модерн-Групп,https://nn.hh.ru/employer/3220247,https://img.hhcdn.ru/employer-logo/3315105.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75083974&hhtmFrom=vacancy_search_list,от 50 000 руб.
Санкт-Петербург,Водитель-курьер на OZON Express на личном автомобиле,https://nn.hh.ru/vacancy/72415983,ООО Союз Регионы,https://nn.hh.ru/employer/4942226,,https://nn.hh.ru/applicant/vacancy_response?vacancyId=72415983&hhtmFrom=vacancy_search_list,80 000 – 165 000 руб.
Санкт-Петербург,Специалист по оценке имущества,https://nn.hh.ru/vacancy/69336794,Банк ВТБ (ПАО),https://nn.hh.ru/employer/4181,https://img.hhcdn.ru/employer-logo/2369889.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=69336794&hhtmFrom=vacancy_search_list,
Санкт-Петербург,"Менеджер по работе с клиентами (удаленная работа, продажи)",https://nn.hh.ru/vacancy/66122603,VooLna,https://nn.hh.ru/employer/3153540,https://img.hhcdn.ru/employer-logo/4249621.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=66122603&hhtmFrom=vacancy_search_list,50 000 – 100 000 руб.
Санкт-Петербург,Автомеханик (автослесарь),https://nn.hh.ru/vacancy/68057860,Логан-Шоп СПб,https://nn.hh.ru/employer/3349762,https://img.hhcdn.ru/employer-logo/3837284.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=68057860&hhtmFrom=vacancy_search_list,от 90 000 руб.
Санкт-Петербург,Менеджер по продажам недвижимости,https://nn.hh.ru/vacancy/75108620,Петербургские Дома,https://nn.hh.ru/employer/5316892,https://img.hhcdn.ru/employer-logo/5785777.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75108620&hhtmFrom=vacancy_search_list,150 000 – 500 000 руб.
Санкт-Петербург,Водитель в экипаж таксопарка,https://nn.hh.ru/vacancy/75066897,Black&Yellow,https://nn.hh.ru/employer/2117386,https://img.hhcdn.ru/employer-logo/3538108.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75066897&hhtmFrom=vacancy_search_list,от 109 000 руб.
Санкт-Петербург,Сборщик заказов,https://nn.hh.ru/vacancy/73996464,СберМаркет,https://nn.hh.ru/employer/1272486,https://img.hhcdn.ru/employer-logo/3899104.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73996464&hhtmFrom=vacancy_search_list,до 90 000 руб.
Санкт-Петербург,"Менеджер по продажам новостроек (без поиска клиентов, на входящий трафик)",https://nn.hh.ru/vacancy/74844411,ООО Центр недвижимости ГОРИЗОНТ,https://nn.hh.ru/employer/1720000,https://img.hhcdn.ru/employer-logo/1414486.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74844411&hhtmFrom=vacancy_search_list,150 000 – 300 000 руб.
Санкт-Петербург,Менеджер по продажам рекламы на агрегаторе,https://nn.hh.ru/vacancy/75078621,Restate 110km Peterburg2 Group,https://nn.hh.ru/employer/70480,https://img.hhcdn.ru/employer-logo/5645949.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75078621&hhtmFrom=vacancy_search_list,75 000 – 150 000 руб.
Санкт-Петербург,Оператор-кассир на АЗС,https://nn.hh.ru/vacancy/50434011,ООО Роснефть РН-Северо-Запад,https://nn.hh.ru/employer/227780,https://img.hhcdn.ru/employer-logo/4078884.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=50434011&hhtmFrom=vacancy_search_list,от 40 800 руб.
Санкт-Петербург,Водитель Яндекс такси на GEELY COOLRAY,https://nn.hh.ru/vacancy/75054606,ИП Складчиков Андрей Михайлович,https://nn.hh.ru/employer/9431264,https://img.hhcdn.ru/employer-logo/5773477.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75054606&hhtmFrom=vacancy_search_list,84 000 – 126 000 руб.
Санкт-Петербург,Курьер на легкие посылки (Подработка),https://nn.hh.ru/vacancy/73798531,Центр обучения курьеров,https://nn.hh.ru/employer/5371934,https://img.hhcdn.ru/employer-logo/5734873.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=73798531&hhtmFrom=vacancy_search_list,80 000 – 137 000 руб.
Санкт-Петербург,"Водитель Яндекс такси (""Комфорт-2022"")",https://nn.hh.ru/vacancy/74951943,ИП Складчиков Андрей Михайлович,https://nn.hh.ru/employer/9431264,https://img.hhcdn.ru/employer-logo/5773477.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74951943&hhtmFrom=vacancy_search_list,86 000 – 124 000 руб.
Санкт-Петербург,Старший менеджер по обслуживанию,https://nn.hh.ru/vacancy/74945297,Сбер. Работа с клиентами,https://nn.hh.ru/employer/3529,https://img.hhcdn.ru/employer-logo/5756157.png,https://nn.hh.ruhttps://hh.ru/article/30991?utm_source=hh_lead_gen&utm_medium=vhr&utm_campaign=sber_seniormanager_premium,
Санкт-Петербург,Курьер Срочно (ежедневные выплаты),https://nn.hh.ru/vacancy/75210192,Курьер - Центр Найма,https://nn.hh.ru/employer/9139449,https://img.hhcdn.ru/employer-logo/5765173.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75210192&hhtmFrom=vacancy_search_list,67 800 – 135 400 руб.
Санкт-Петербург,Продавец-консультант,https://nn.hh.ru/vacancy/74029250,Связной,https://nn.hh.ru/employer/533,https://img.hhcdn.ru/employer-logo/3014865.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74029250&hhtmFrom=vacancy_search_list,50 000 – 90 000 руб.
Санкт-Петербург,Курьер Срочно (ежедневные выплаты),https://nn.hh.ru/vacancy/75169467,Курьерская служба,https://nn.hh.ru/employer/9159577,https://img.hhcdn.ru/employer-logo/5715245.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=75169467&hhtmFrom=vacancy_search_list,68 200 – 135 700 руб.
Санкт-Петербург,Повар в ТОКИО-CITY (Красносельский район),https://nn.hh.ru/vacancy/74934903,ТОКИО-CITY,https://nn.hh.ru/employer/924205,https://img.hhcdn.ru/employer-logo/3569496.png,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74934903&hhtmFrom=vacancy_search_list,от 60 000 руб.
Санкт-Петербург,Ночной курьер,https://nn.hh.ru/vacancy/74334690,ДОСТАЕВСКИЙ,https://nn.hh.ru/employer/1340780,https://img.hhcdn.ru/employer-logo/3708316.jpeg,https://nn.hh.ru/applicant/vacancy_response?vacancyId=74334690&hhtmFrom=vacancy_search_list,69 785 – 125 610 руб.
